% time,seconds,usecs/call,calls,errors,syscall
68.98,0.001761,176,10,5,wait4
13.98,0.000357,357,1,,openat
5.8,0.000148,37,4,,clone
2.78,0.000071,1,40,12,stat
1.25,0.000032,1,27,,rt_sigprocmask
1.18,0.00003,1,16,,access
0.9,0.000023,23,1,,write
0.74,0.000019,1,16,,getuid
0.71,0.000018,1,16,,getgid
0.67,0.000017,1,16,,getegid
0.59,0.000015,0,16,,geteuid
0.51,0.000013,6,2,,dup2
0.39,0.00001,1,6,,read
0.39,0.00001,1,9,,rt_sigaction
0.35,0.000009,1,5,,fcntl
0.27,0.000007,1,5,,ioctl
0.24,0.000006,1,4,,lseek
0.2,0.000005,1,5,,rt_sigreturn
0.08,0.000002,1,2,,close
