% time,seconds,usecs/call,calls,errors,syscall
55.56,3.513886,14,234804,,poll
15.27,0.965586,3,257928,214087,recvmsg
12.28,0.776874,8,87196,21,futex
6.36,0.402147,6,61413,,write
4.5,0.284741,4,68960,,read
3.03,0.19188,4,38746,,writev
1.24,0.078205,14,5391,,mprotect
0.71,0.044957,31,1434,,getpid
0.36,0.022636,7,3062,,madvise
0.14,0.008656,17,497,,mmap
0.13,0.008013,182,44,,getrusage
0.12,0.007313,24,294,,munmap
0.08,0.005129,18,282,,fallocate
0.05,0.003177,3,973,174,stat
0.05,0.00314,11,283,,memfd_create
0.05,0.002967,4,640,583,openat
0.03,0.001752,5,303,,fcntl
0.01,0.000896,3,274,240,access
0.01,0.000796,1,470,,close
0.01,0.000705,1,455,,dup
0,0.000262,9,29,,socketpair
0,0.000243,7,31,,pread64
0,0.000242,20,12,,clone
0,0.000231,1,130,,lseek
0,0.000167,1,94,,fstat
0,0.000095,4,20,1,lstat
0,0.000047,2,22,,getsockopt
0,0.000042,42,1,,restart_syscall
0,0.000031,1,27,,getuid
0,0.000023,11,2,,shmdt
0,0.000007,1,5,,uname
0,0.000006,6,1,,connect
0,0.000006,1,4,,gettid
0,0.000002,2,1,1,sendto
0,0.000002,2,1,,setpriority
0,0.000001,1,1,,getpriority
0,0,0,8,,pwrite64
0,0,0,1,,socket
0,0,0,1,,setsockopt
0,0,0,1,,ftruncate
0,0,0,1,1,mkdir
0,0,0,2,,umask
0,0,0,1,,getgid
0,0,0,4,,getdents64
0,0,0,1,,pipe2
