class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
&mm->mmap_lock#2-W:,3402,8350,0.11,5579.27,455344.75,54.53,13054,104981,0.14,16432.58,1451525.6,13.83
&mm->mmap_lock#2-R:,10257,24053,0.11,12600.18,868476.4,36.11,13594,1643915,0.07,9540.44,7359201.07,4.48
&futex_queues[i].lock:,9744,9778,0.06,67.51,3933.9,0.4,131930,168949,0.04,284.15,97433.6,0.58
&rq->lock:,8526,8542,0.11,10513.74,135122.09,15.82,335097,1196319,0.07,10559.31,4672761.4,3.91
ptlock_ptr(page)#2:,3239,3243,0.07,534.96,18051.13,5.57,89473,1846168,0.07,3766.3,3007378.69,1.63
&lruvec->lru_lock:,2434,2440,0.08,145.99,5902.75,2.42,40035,245194,0.09,205.95,506742.63,2.07
&ep->lock-W:,870,871,0.09,1382.84,1875.35,2.15,64188,276222,0.05,116.48,68557.73,0.25
&ep->lock-R:,552,556,0.09,22.67,295.35,0.53,81561,131004,0.06,10570.89,1067176.09,8.15
&u->lock:,997,1007,0.07,97.84,776.46,0.77,119778,532598,0.06,136.89,167882.07,0.32
rcu_node_1:,470,589,0.15,143.72,533.13,0.91,21856,120922,0.09,151.51,38316.37,0.32
&sem->wait_lock:,497,507,0.11,15.57,176.39,0.35,25785,56676,0.07,26.67,20934.68,0.37
&ep->wq:,433,433,0.17,1964.25,6465.74,14.93,24345,53061,0.11,10568.43,987089.33,18.6
&p->pi_lock:,353,353,0.13,68.52,3044.58,8.62,90575,246268,0.06,10565.16,3156587.98,12.82
&xa->xa_lock#3:,342,343,0.08,13.43,121.56,0.35,6596,879954,0.1,155.05,299440.83,0.34
&dev_priv->hw_lock:,241,252,0.21,145.42,1775.48,7.05,7901,37528,0.63,189.12,207002.72,5.52
rlock-AF_UNIX:,231,231,0.1,11.7,66.5,0.29,112993,157483,0.06,55.82,43111.62,0.27
slock-AF_INET:,222,222,0.21,115.91,3567.28,16.07,5235,78707,0.05,203.79,22635.98,0.29
&zone->lock:,174,174,0.15,54.81,654.72,3.76,12068,40063,0.11,165.82,172122.23,4.3
&ei->socket.wq.wait:,147,148,0.09,25.87,303.11,2.05,109988,755149,0.07,3172.38,1190390.06,1.58
&lock->lock:,104,105,0.14,50.07,250.71,2.39,9921,25597,0.08,1286.85,39533.95,1.54
&lru->node[i].lock:,84,89,0.12,1.21,39.16,0.44,2026,6119,0.14,25.79,2574.45,0.42
&s->s_inode_list_lock:,75,76,0.1,0.93,27.99,0.37,2830,9133,0.1,29.77,3053.08,0.33
&fman->lock:,65,65,0.16,112.44,420.31,6.47,9953,38949,0.09,159.9,64822.65,1.66
jiffies_lock:,57,57,0.19,2.21,32.14,0.56,3820,12345,0.1,40.66,10766.73,0.87
hrtimer_bases.lock:,49,49,0.19,12.24,58.55,1.19,9637,487213,0.05,195.69,420496.03,0.86
&dev_priv->cmdbuf_mutex:,31,34,28.1,396.88,3771.7,110.93,6757,13175,0.36,1489.36,802755.37,60.93
