class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
&futex_queues[i].lock:,4837,4839,0.07,13.83,975.1,0.2,12430,16144,0.04,38.79,4910.35,0.3
&u->lock:,1040,1041,0.06,14.63,322.32,0.31,66977,191701,0.05,101.11,64096.93,0.33
&rq->lock:,602,608,0.12,44.57,3621.24,5.96,84254,308563,0.07,421.42,1026114.24,3.33
&ep->lock-W:,208,208,0.12,7.03,58.31,0.28,20569,74039,0.08,103.78,17603.29,0.24
&ep->lock-R:,155,155,0.11,17.42,55.23,0.36,25407,50743,0.1,120.67,290050.28,5.72
&ei->socket.wq.wait:,256,256,0.06,105.83,199.93,0.78,32769,209341,0.06,121.07,524581.9,2.51
rlock-AF_UNIX:,208,209,0.06,0.83,34.44,0.16,66363,87571,0.05,21.94,20231.12,0.23
rcu_node_1:,128,148,0.15,106.65,171.91,1.16,6859,68408,0.09,107.82,16812.33,0.25
&mm->mmap_lock#2-W:,26,60,0.32,155.97,1417.45,23.62,439,9868,0.14,3539.8,74860.26,7.59
&mm->mmap_lock#2-R:,31,52,0.25,73.66,1029.19,19.79,150,97036,0.1,939.68,433185.72,4.46
&ep->wq:,76,76,0.26,30.24,748.04,9.84,5421,15732,0.14,119.9,266377.6,16.93
jiffies_lock:,74,75,0.13,29.66,62.11,0.83,4492,9756,0.11,31.03,7124.74,0.73
&lock->lock:,52,53,0.13,50.21,101.08,1.91,4995,13319,0.1,71.42,18650.04,1.4
&fman->lock:,34,34,0.19,57.8,188.28,5.54,4828,19782,0.11,115.66,30735.41,1.55
&dev_priv->cmdbuf_mutex:,26,26,39.17,136.38,2085.76,80.22,3262,6682,0.35,1993.28,381908.7,57.15
&dev_priv->hw_lock:,22,22,0.22,46.28,137.26,6.24,4090,22913,0.61,122.86,121330.05,5.3
&p->pi_lock:,20,20,0.15,22.85,216.29,10.81,15180,71081,0.09,118.81,682280.19,9.6
&sighand->siglock:,13,13,0.8,16.67,69.05,5.31,397,29255,0.1,284.28,35962.02,1.23
&lruvec->lru_lock:,10,10,0.25,4.09,12.76,1.28,548,10208,0.15,39.6,28377.87,2.78
&retval->lock:,8,8,0.21,0.61,3.43,0.43,4878,17979,0.11,48.55,7798.19,0.43
&glob->lru_lock:,7,7,0.46,15.83,37.8,5.4,3860,7709,0.1,5.02,2695.55,0.35
&ioc->FreeQlock:,6,6,0.19,7.44,8.59,1.43,2197,7616,0.06,17.28,2083.83,0.27
hrtimer_bases.lock:,5,5,0.23,1.19,3.24,0.65,605,237176,0.09,208.65,200881.54,0.85
tasklist_lock-W:,5,5,6.59,88.51,196.14,39.23,99,213,0.15,28.62,854.09,4.01
tasklist_lock-R:,0,0,0,0,0,0,45,378,0.15,107.25,386.8,1.02
&lock->queue:,4,4,0.25,50.26,51.61,12.9,3203,8112,0.12,49.79,14667.03,1.81
&rcu_state.gp_wq:,4,4,0.21,0.59,1.27,0.32,2140,10284,0.09,33.21,18671.93,1.82
&pool->lock:,4,4,2.64,5.65,16.31,4.08,1184,12890,0.12,48.14,27270.81,2.12
rcu_node_0:,3,3,0.17,0.29,0.69,0.23,2157,12701,0.11,107.06,3003.51,0.24
&rcu_state.expedited_wq:,2,3,0.86,0.97,2.75,0.92,17,30,0.08,21,116.03,3.87
&p->alloc_lock:,3,3,0.17,2.06,2.51,0.84,202,5958,0.08,25.42,1846.99,0.31
&sem->wait_lock:,2,2,0.17,0.42,0.59,0.3,94,164,0.12,1.67,67.93,0.41
&ctx->wqh#2:,2,2,0.31,11.62,11.93,5.97,1549,57403,0.09,36.62,19976.4,0.35
&journal->j_state_lock-W:,1,1,0.44,0.44,0.44,0.44,17,547,0.09,24.37,375.89,0.69
&journal->j_state_lock-R:,0,0,0,0,0,0,147,2417,0.11,33.36,767.62,0.32
&base->lock:,1,1,0.21,0.21,0.21,0.21,456,58161,0.1,56.29,16509.48,0.28
&ret->b_state_lock:,1,1,0.47,0.47,0.47,0.47,684,2010,0.16,11.91,1790.15,0.89
aa_buffers_lock:,1,1,0.19,0.19,0.19,0.19,128,22294,0.1,34.87,3658.52,0.16
&dev_priv->resource_lock:,1,1,0.29,0.29,0.29,0.29,3271,184871,0.1,86.32,31098.57,0.17
&dentry->d_lock:,1,1,0.21,0.21,0.21,0.21,4841,130488,0.07,269.25,24643.92,0.19
&journal->j_list_lock:,1,1,0.16,0.16,0.16,0.16,71,2080,0.09,43.92,693.11,0.33
&cfs_rq->removed.lock:,1,1,0.2,0.2,0.2,0.2,1181,1777,0.11,1.42,776.5,0.44
&newf->file_lock:,1,1,0.18,0.18,0.18,0.18,240,15893,0.11,40.94,4946.62,0.31
css_set_lock:,1,1,0.21,0.21,0.21,0.21,136,2278,0.13,39.59,2038.45,0.89
&zone->lock:,1,1,4.13,4.13,4.13,4.13,874,3057,0.13,51.9,10311.59,3.37
&ctx->flc_lock:,1,1,2.86,2.86,2.86,2.86,37,792,0.13,3.49,461.32,0.58
&ioc->scsi_lookup_lock:,1,1,0.21,0.21,0.21,0.21,2199,5448,0.09,15.38,1633.66,0.3
&n->list_lock:,1,1,0.47,0.47,0.47,0.47,179,949,0.14,155.6,1016.62,1.07
&mapping->i_mmap_rwsem-W:,1,1,1.23,1.23,1.23,1.23,2061,18327,0.11,42.72,10112.14,0.55
&mapping->i_mmap_rwsem-R:,0,0,0,0,0,0,6,171,0.63,5.35,235.2,1.38
pcpu_lock:,0,0,0,0,0,0,4,297,0.24,22.47,210.71,0.71
pcpu_alloc_mutex:,0,0,0,0,0,0,4,282,0.54,4.36,272.5,0.97
pgd_lock:,0,0,0,0,0,0,42,84,0.17,2.23,57.58,0.69
batched_entropy_u64.lock:,0,0,0,0,0,0,0,445,0.11,3.38,188.46,0.42
cpu_hotplug_lock-R:,0,0,0,0,0,0,0,52,0.22,79.43,1364.9,26.25
proc_inum_ida.xa_lock:,0,0,0,0,0,0,0,56,0.2,1.14,14.91,0.27
free_vmap_area_lock:,0,0,0,0,0,0,170,2109,0.26,87.79,7011.56,3.32
vmap_area_lock:,0,0,0,0,0,0,204,10305,0.1,23.28,5667.24,0.55
&irq_desc_lock_class:,0,0,0,0,0,0,107,17702,0.12,42.76,17152.32,0.97
vmap_purge_lock:,0,0,0,0,0,0,3,70,19.97,145.18,1855.22,26.5
purge_vmap_area_lock:,0,0,0,0,0,0,150,2070,0.14,16.23,4263.5,2.06
cpa_lock:,0,0,0,0,0,0,3,108,0.14,0.98,38.98,0.36
mount_lock.seqcount-W:,0,0,0,0,0,0,0,354,0.08,16.53,346.35,0.98
mount_lock.seqcount-R:,0,0,0,0,0,0,0,20353,0.06,14.09,1772.75,0.09
resource_lock-R:,0,0,0,0,0,0,39,8150,0.14,38.15,1494.42,0.18
mnt_id_ida.xa_lock:,0,0,0,0,0,0,0,138,0.21,1.77,44.76,0.32
shrinker_rwsem:,0,0,0,0,0,0,1,2,0.29,2.61,2.9,1.45
&pool->lock/1:,0,0,0,0,0,0,126,1910,0.11,31.34,1640.23,0.86
list_lrus_mutex:,0,0,0,0,0,0,1,2,0.17,0.4,0.57,0.29
input_pool.lock:,0,0,0,0,0,0,229,6004,0.18,12.02,3162.18,0.53
