class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
&ep->lock-W:,157699,158073,0.06,640.1,77122.03,0.49,3438335,12346213,0.04,175.14,2116412.4,0.17
&ep->lock-R:,40003,40048,0.08,155.7,13338.78,0.33,3441620,3628149,0.08,714.68,10256029.88,2.83
&rq->lock:,10373,10383,0.15,467.76,110612.23,10.65,987273,3071913,0.08,534.79,10951230.14,3.56
slock-AF_INET:,3690,3691,0.16,247.06,28203.72,7.64,3611779,14439640,0.05,137.94,1759287.16,0.12
&u->lock:,288,290,0.11,1.62,121.91,0.42,35047,112609,0.09,46.46,40457.04,0.36
&n->list_lock:,283,283,0.15,10.14,155.57,0.55,145916,391632,0.11,116.32,213595.72,0.55
rcu_node_1:,217,248,0.16,11.6,130.03,0.52,22135,224644,0.09,196.01,54340.42,0.24
&zone->lock:,195,195,0.14,15.39,109.89,0.56,85202,223192,0.11,116.04,98444.45,0.44
&base->lock:,150,150,0.16,1.02,49.46,0.33,12377,4519732,0.1,166.41,1668363.5,0.37
&ei->socket.wq.wait:,119,119,0.15,1.38,53.59,0.45,3646632,10920177,0.08,715.24,13380296.6,1.23
jiffies_lock:,101,104,0.14,12.74,61.67,0.59,6283,21175,0.11,29.2,16676.01,0.79
&lock->lock:,74,76,0.14,52.34,151.8,2,5910,15187,0.1,103.13,23403.58,1.54
rlock-AF_UNIX:,62,62,0.11,0.77,15.07,0.24,34393,45067,0.08,26.42,12031.06,0.27
&dev_priv->cmdbuf_mutex:,37,37,52.41,131.7,3046.35,82.33,3952,7851,0.37,469.7,472146.94,60.14
&p->pi_lock:,35,35,0.53,28,399.32,11.41,15936,595139,0.1,712.63,8040739.82,13.51
&ep->wq:,32,32,0.55,22.14,326.62,10.21,3638,539507,0.15,713.73,8033909.13,14.89
&fman->lock:,30,30,0.35,68.66,213.48,7.12,5886,23127,0.12,118.25,39021.26,1.69
&dev_priv->hw_lock:,28,28,0.29,12.44,129.26,4.62,4766,22979,0.66,250.35,120691.18,5.25
&rcu_state.gp_wq:,15,16,0.23,76.79,89.12,5.57,2883,33919,0.09,113.62,26354.15,0.78
slock-AF_INET/1:,16,16,0.19,23.89,29.48,1.84,3602651,3799061,0.17,812.65,23063465.38,6.07
hrtimer_bases.lock:,15,15,0.16,6.37,12.32,0.82,1351,1841178,0.1,187.61,814817.68,0.44
&retval->lock:,15,15,0.18,1.24,5.72,0.38,5478,18321,0.14,103.04,8810.23,0.48
