class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
&rq->lock:,1593,1605,0.14,1119.65,12178.5,7.59,112274,495091,0.07,1185.88,1618501.81,3.27
&lruvec->lru_lock:,1138,1140,0.1,51.31,2313.41,2.03,26836,297207,0.14,134.44,756405.06,2.55
rcu_node_1:,608,759,0.14,10.52,395.64,0.52,24852,175057,0.09,29.34,48487.9,0.28
&u->lock:,334,335,0.09,13.43,133.79,0.4,46367,147895,0.08,128.22,51334.94,0.35
&xa->xa_lock#3:,313,313,0.14,0.95,127.8,0.41,4092,175411,0.1,41.29,75911.93,0.43
&ep->lock-W:,124,124,0.08,8.43,38.22,0.31,15074,51609,0.07,79.69,13984.51,0.27
&ep->lock-R:,121,121,0.14,64.17,93.43,0.77,18569,34219,0.09,176.76,202469.25,5.92
&sighand->siglock:,200,200,0.23,23.06,2685.74,13.43,16856,142430,0.07,334.88,165370.53,1.16
&p->pi_lock:,194,194,0.15,27.01,2257.92,11.64,32204,447473,0.09,1188.43,1068695.14,2.39
&zone->lock:,162,162,0.2,11.3,664.65,4.1,12165,80536,0.12,57.54,364937.96,4.53
&mapping->i_mmap_rwsem-W:,162,162,0.13,27.19,164.57,1.02,43047,404652,0.09,150.06,185809.85,0.46
&mapping->i_mmap_rwsem-R:,0,0,0,0,0,0,3,109,0.59,5.77,140.39,1.29
&ei->socket.wq.wait:,117,117,0.15,146.86,191.62,1.64,25317,152107,0.08,1189.72,379574.88,2.5
jiffies_lock:,100,100,0.15,9.63,54.57,0.55,2503,23785,0.1,31,18354.11,0.77
rlock-AF_UNIX:,79,79,0.1,0.76,18.31,0.23,45468,58272,0.08,106.35,15327.39,0.26
&lock->lock:,72,72,0.14,38.07,144.59,2.01,6899,17576,0.06,82.42,26185.39,1.49
&group->notification_lock:,53,53,0.1,1.09,14.61,0.28,6535,24891,0.07,19.84,7192.53,0.29
&dev_priv->cmdbuf_mutex:,41,41,29.04,191.7,3954.91,96.46,4609,9028,0.36,373.57,525414.77,58.2
&ioc->FreeQlock:,40,40,0.12,0.82,13.61,0.34,684,6962,0.06,111.56,1966.65,0.28
&pool->lock/1:,34,34,0.2,16.6,268.75,7.9,3097,22058,0.09,128.04,26055.74,1.18
&rcu_state.gp_wq:,33,33,0.18,2.08,27.99,0.85,5712,24588,0.09,94.08,45827.84,1.86
&ep->wq:,32,32,0.71,19.91,284.71,8.9,4639,10070,0.15,176.03,184153.46,18.29
&dev_priv->hw_lock:,31,31,0.28,24.21,126.85,4.09,5573,26489,0.63,173.39,137241.49,5.18
&fman->lock:,24,24,0.17,12.01,96.83,4.03,6633,26517,0.11,88.54,42918.32,1.62
&lock->queue:,21,22,0.12,2.68,9.15,0.42,4516,10721,0.12,37.67,20509.29,1.91
&dentry->d_lock:,17,20,0.12,0.62,5.88,0.29,119828,2172480,0.06,141.95,307567.95,0.14
&retval->lock:,12,12,0.16,0.74,3.87,0.32,6487,21080,0.13,41.45,9887.86,0.47
&pipe->rd_wait:,12,12,0.08,0.31,2.44,0.2,19472,81641,0.06,188.57,132407.68,1.62
&anon_vma->rwsem:,12,12,0.26,2.71,10.33,0.86,65643,340408,0.1,197.36,189378.54,0.56
hrtimer_bases.lock:,10,10,0.18,0.62,4.03,0.4,1811,309344,0.1,150.02,284705.11,0.92
vmap_area_lock:,9,9,0.2,2.55,8.01,0.89,4018,18992,0.08,100.02,12902.18,0.68
&journal->j_state_lock-W:,5,5,0.21,1.5,3.65,0.73,59,644,0.09,308.5,977.57,1.52
&journal->j_state_lock-R:,2,2,0.24,0.34,0.58,0.29,3102,79828,0.1,33.75,16453.4,0.21
tasklist_lock-W:,4,4,0.89,112.23,135.41,33.85,3039,12528,0.19,337.58,126928.02,10.13
tasklist_lock-R:,3,3,1.32,70.22,85.94,28.65,6699,13982,0.14,78.15,12721.51,0.91
&ioc->scsi_lookup_lock:,7,7,0.18,0.87,2.26,0.32,646,1280,0.1,11.96,531.38,0.42
&n->list_lock:,6,6,0.2,0.96,3.1,0.52,2165,30892,0.15,46.46,17552.33,0.57
&pool->lock:,6,6,0.29,4.22,13.34,2.22,1897,25255,0.11,57.14,51803.29,2.05
&futex_queues[i].lock:,5,5,0.26,0.88,2.31,0.46,2868,3173,0.16,22.65,2656,0.84
crtc_ww_class_mutex:,2,5,35.95,201.62,504.63,100.93,1614,6490,0.4,9079.29,129843.59,20.01
&glob->lru_lock:,5,5,1.57,27.52,53.31,10.66,5270,7812,0.11,13.98,2438.92,0.31
&base->lock:,5,5,0.2,0.54,1.73,0.35,1598,74661,0.09,312.46,25960.07,0.35
