class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
&u->lock:,67,67,0.07,16.36,37.89,0.57,5462,16074,0.11,26.99,5314.8,0.33
&rq->lock:,50,50,0.18,314.78,582.6,11.65,5354,18649,0.08,404.77,68616,3.68
&ep->lock-W:,21,21,0.15,0.85,5.19,0.25,1214,3524,0.1,12.23,884.48,0.25
&ep->lock-R:,14,14,0.17,0.37,3.22,0.23,1690,3946,0.11,143.81,14554.93,3.69
&ei->socket.wq.wait:,15,15,0.19,0.83,5.18,0.35,2983,15055,0.08,144.32,38568.39,2.56
rlock-AF_UNIX:,15,15,0.16,0.3,3.34,0.22,5351,7358,0.09,18.84,1697.89,0.23
rcu_node_1:,8,14,0.2,0.87,5.8,0.41,411,3224,0.09,2.76,862.57,0.27
&dev_priv->cmdbuf_mutex:,8,8,71.85,146,786.96,98.37,351,803,0.36,271.9,39579.65,49.29
&lock->lock:,7,7,0.2,0.73,2.33,0.33,575,1554,0.12,50.79,2193.35,1.41
&ep->wq:,7,7,3.4,33.36,78.32,11.19,245,714,0.16,142.87,12830.66,17.97
&dev_priv->hw_lock:,7,7,1.26,10.7,36.83,5.26,448,2123,0.66,62.93,10027.42,4.72
&fman->lock:,6,6,0.16,5.58,7.66,1.28,504,2251,0.12,52.96,2997.29,1.33
&pool->lock/1:,6,6,0.64,146.3,178.14,29.69,71,2546,0.11,322.71,1245.16,0.49
jiffies_lock:,3,3,0.23,0.93,1.99,0.66,103,325,0.15,2.02,249.61,0.77
&retval->lock:,2,2,0.4,0.96,1.36,0.68,499,1726,0.14,13.78,702.56,0.41
&futex_queues[i].lock:,1,1,0.3,0.3,0.3,0.3,254,263,0.21,24.43,202.31,0.77
&p->pi_lock:,1,1,1.47,1.47,1.47,1.47,776,4105,0.1,409.59,45637.65,11.12
pgd_lock:,0,0,0,0,0,0,13,23,0.28,1.74,15.93,0.69
cpu_hotplug_lock-R:,0,0,0,0,0,0,0,5,0.65,50.79,56.41,11.28
resource_lock-R:,0,0,0,0,0,0,1,1,2.39,2.39,2.39,2.39
input_pool.lock:,0,0,0,0,0,0,20,98,0.19,1.56,76.24,0.78
&zone->lock:,0,0,0,0,0,0,131,208,0.18,16.1,273.98,1.32
batched_entropy_u64.lock:,0,0,0,0,0,0,0,39,0.12,3.87,24.23,0.62
console_lock:,0,0,0,0,0,0,0,8,2.95,4.27,27.61,3.45
rcu_read_lock-R:,0,0,0,0,0,0,0,182867,0.06,323.83,90696,0.5
&pool->lock:,0,0,0,0,0,0,142,993,0.15,29.35,2018.12,2.03
rcu_node_0:,0,0,0,0,0,0,102,568,0.11,1.11,136.04,0.24
mount_lock.seqcount-R:,0,0,0,0,0,0,0,6,0.15,0.32,1.41,0.24
free_vmap_area_lock:,0,0,0,0,0,0,17,72,0.32,6.81,244.87,3.4
vmap_area_lock:,0,0,0,0,0,0,26,365,0.12,4.25,219.19,0.6
&irq_desc_lock_class:,0,0,0,0,0,0,4,638,0.16,16.92,719.5,1.13
purge_vmap_area_lock:,0,0,0,0,0,0,19,72,0.33,3.07,124.86,1.73
led_lock:,0,0,0,0,0,0,0,8,0.36,0.92,3.87,0.48
lock#2:,0,0,0,0,0,0,0,359,0.54,39.11,640.38,1.78
aa_buffers_lock:,0,0,0,0,0,0,3,12,0.15,1.39,5.75,0.48
kernfs_mutex:,0,0,0,0,0,0,1,299,0.12,27.71,92.42,0.31
file_systems_lock-R:,0,0,0,0,0,0,1,3,10.86,12.16,33.94,11.31
&s->s_inode_list_lock:,0,0,0,0,0,0,3,4,0.46,4.36,8.82,2.21
&dentry->d_lock:,0,0,0,0,0,0,189,1434,0.07,5.89,273.34,0.19
&sb->s_type->i_lock_key#3:,0,0,0,0,0,0,20,20,0.15,0.59,4.7,0.24
css_set_lock:,0,0,0,0,0,0,18,34,0.2,2.65,37.85,1.11
&cpuset_rwsem-R:,0,0,0,0,0,0,0,1,2.89,2.89,2.89,2.89
kbd_event_lock:,0,0,0,0,0,0,0,24,0.14,2.39,20.58,0.86
batched_entropy_u32.lock:,0,0,0,0,0,0,0,27,0.11,2.68,14.08,0.52
ptlock_ptr(page)#2:,0,0,0,0,0,0,51,2099,0.14,141.53,5969.21,2.84
ptlock_ptr(page):,0,0,0,0,0,0,6,88,0.13,0.53,19.26,0.22
jiffies_seq.seqcount-W:,0,0,0,0,0,0,0,322,0.13,0.96,73.98,0.23
jiffies_seq.seqcount-R:,0,0,0,0,0,0,0,3576,0.06,0.95,580.15,0.16
hrtimer_bases.lock:,0,0,0,0,0,0,49,12209,0.1,24.94,9241.91,0.76
pidmap_lock:,0,0,0,0,0,0,12,26,0.29,2.23,23.07,0.89
cgroup_threadgroup_rwsem-R:,0,0,0,0,0,0,0,17,0.37,13.34,94.09,5.53
tasklist_lock-W:,0,0,0,0,0,0,11,29,0.5,43.98,250.85,8.65
tasklist_lock-R:,0,0,0,0,0,0,10,25,0.18,3.16,27.96,1.12
"&per_cpu_ptr(group->pcpu, cpu)->seq-W:",0,0,0,0,0,0,0,43619,0.08,23.49,6056.44,0.14
"&per_cpu_ptr(group->pcpu, cpu)->seq-R:",0,0,0,0,0,0,0,2048,0.07,1.49,589.84,0.29
&base->lock:,0,0,0,0,0,0,27,2895,0.11,14.88,874.84,0.3
&sighand->siglock:,0,0,0,0,0,0,34,2019,0.11,40.77,2308.98,1.14
&p->alloc_lock:,0,0,0,0,0,0,13,153,0.13,1.4,61.25,0.4
fs_reclaim:,0,0,0,0,0,0,0,17176,0.18,20.12,5143.07,0.3
mmu_notifier_invalidate_range_start:,0,0,0,0,0,0,0,18147,0.07,11.19,1942.4,0.11
(wq_completion)events:,0,0,0,0,0,0,0,303,0.8,618.34,3117.38,10.29
&crng->lock:,0,0,0,0,0,0,5,21,0.16,2.33,25.47,1.21
&tsk->futex_exit_mutex:,0,0,0,0,0,0,10,14,0.76,2.39,21.52,1.54
rcu_state.ofl_lock:,0,0,0,0,0,0,8,632,0.29,2.5,278.15,0.44
&rcu_state.gp_wq:,0,0,0,0,0,0,102,493,0.09,21.32,888.24,1.8
&stop_pi_lock:,0,0,0,0,0,0,0,6,3.11,5.52,26.17,4.36
&stopper->lock:,0,0,0,0,0,0,0,30,0.09,1.57,9.34,0.31
&x->wait#4:,0,0,0,0,0,0,0,12,0.17,0.91,5.21,0.43
&newf->file_lock:,0,0,0,0,0,0,26,323,0.12,2.43,118.8,0.37
(&timer.timer):,0,0,0,0,0,0,0,268,0.08,16.14,579.22,2.16
rcu_callback-R:,0,0,0,0,0,0,0,293,0.47,27.06,1163.57,3.97
&rt_b->rt_runtime_lock:,0,0,0,0,0,0,0,117,0.32,4.12,78.92,0.67
&rt_rq->rt_runtime_lock:,0,0,0,0,0,0,0,135,0.11,10.88,68.95,0.51
&cfs_rq->removed.lock:,0,0,0,0,0,0,81,131,0.2,383.61,452.63,3.46
&____s->seqcount#2-R:,0,0,0,0,0,0,0,369,0.06,1.46,49.5,0.13
rename_lock:,0,0,0,0,0,0,1,1,8.4,8.4,8.4,8.4
rename_lock.seqcount-W:,0,0,0,0,0,0,0,1,7.62,7.62,7.62,7.62
rename_lock.seqcount-R:,0,0,0,0,0,0,0,25,0.07,0.99,6.99,0.28
&____s->seqcount#3-W:,0,0,0,0,0,0,0,1,1.38,1.38,1.38,1.38
&____s->seqcount#3-R:,0,0,0,0,0,0,0,62,0.06,0.77,15.99,0.26
&fs->lock:,0,0,0,0,0,0,16,23,0.28,2.87,19.61,0.85
&dev->power.lock:,0,0,0,0,0,0,0,194,0.15,4.02,93.52,0.48
&k->k_lock:,0,0,0,0,0,0,1,60,0.12,0.83,12.9,0.22
krc.lock:,0,0,0,0,0,0,0,1243,0.11,3.7,633.24,0.51
&x->wait#9:,0,0,0,0,0,0,2,3,0.29,19.19,19.78,6.59
(work_completion)(&barr->work):,0,0,0,0,0,0,0,1,20.13,20.13,20.13,20.13
binfmt_lock-R:,0,0,0,0,0,0,3,20,0.14,0.82,7.3,0.37
&mm->page_table_lock:,0,0,0,0,0,0,0,158,0.13,0.76,34.79,0.22
&mm->mmap_lock/1:,0,0,0,0,0,0,0,6,188.87,281.11,1368.57,228.09
&pgdat->kcompactd_wait:,0,0,0,0,0,0,0,9,0.11,0.61,2.28,0.25
&child->perf_event_mutex:,0,0,0,0,0,0,7,8,0.3,0.83,3.33,0.42
&pid->wait_pidfd:,0,0,0,0,0,0,4,5,0.32,0.45,1.79,0.36
&sig->wait_chldexit:,0,0,0,0,0,0,13,30,0.12,38.13,147.74,4.92
&(&sig->stats_lock)->lock:,0,0,0,0,0,0,8,13,0.77,4.25,28.43,2.19
&____s->seqcount#4-W:,0,0,0,0,0,0,0,13,0.22,3.26,20.03,1.54
&____s->seqcount#4-R:,0,0,0,0,0,0,0,157,0.06,1.24,28.52,0.18
(work_completion)(&p->wq):,0,0,0,0,0,0,0,5,7.58,10.47,44.79,8.96
mm/vmstat.c:1970:,0,0,0,0,0,0,0,1,6.33,6.33,6.33,6.33
(shepherd).work:,0,0,0,0,0,0,0,1,53.4,53.4,53.4,53.4
(wq_completion)mm_percpu_wq:,0,0,0,0,0,0,0,6,2.68,5.4,22.92,3.82
(work_completion)(&(({ do { const voi:,0,0,0,0,0,0,0,6,2.34,4.27,18.72,3.12
&mm->mmap_lock#2-W:,0,0,0,0,0,0,4,371,0.14,283.15,3368.05,9.08
&mm->mmap_lock#2-R:,0,0,0,0,0,0,8,1288,0.11,57.03,6139.97,4.77
