% time,seconds,usecs/call,calls,errors,syscall
68.98,0.001761,176,10,5,wait4
13.98,0.000357,357,1,,openat
5.8,0.000148,37,4,,clone
2.78,0.000071,1,40,12,stat
1.25,0.000032,1,27,,rt_sigprocmask
1.18,0.00003,1,16,,access
0.9,0.000023,23,1,,write
0.74,0.000019,1,16,,getuid
0.71,0.000018,1,16,,getgid
0.67,0.000017,1,16,,getegid
0.59,0.000015,0,16,,geteuid
0.51,0.000013,6,2,,dup2
0.39,0.00001,1,6,,read
0.39,0.00001,1,9,,rt_sigaction
0.35,0.000009,1,5,,fcntl
0.27,0.000007,1,5,,ioctl
0.24,0.000006,1,4,,lseek
0.2,0.000005,1,5,,rt_sigreturn
0.08,0.000002,1,2,,close
55.56,3.513886,14,234804,,poll
15.27,0.965586,3,257928,214087,recvmsg
12.28,0.776874,8,87196,21,futex
6.36,0.402147,6,61413,,write
4.5,0.284741,4,68960,,read
3.03,0.19188,4,38746,,writev
1.24,0.078205,14,5391,,mprotect
0.71,0.044957,31,1434,,getpid
0.36,0.022636,7,3062,,madvise
0.14,0.008656,17,497,,mmap
0.13,0.008013,182,44,,getrusage
0.12,0.007313,24,294,,munmap
0.08,0.005129,18,282,,fallocate
0.05,0.003177,3,973,174,stat
0.05,0.00314,11,283,,memfd_create
0.05,0.002967,4,640,583,openat
0.03,0.001752,5,303,,fcntl
0.01,0.000896,3,274,240,access
0.01,0.000796,1,470,,close
0.01,0.000705,1,455,,dup
0,0.000262,9,29,,socketpair
0,0.000243,7,31,,pread64
0,0.000242,20,12,,clone
0,0.000231,1,130,,lseek
0,0.000167,1,94,,fstat
0,0.000095,4,20,1,lstat
0,0.000047,2,22,,getsockopt
0,0.000042,42,1,,restart_syscall
0,0.000031,1,27,,getuid
0,0.000023,11,2,,shmdt
0,0.000007,1,5,,uname
0,0.000006,6,1,,connect
0,0.000006,1,4,,gettid
0,0.000002,2,1,1,sendto
0,0.000002,2,1,,setpriority
0,0.000001,1,1,,getpriority
0,0,0,8,,pwrite64
0,0,0,1,,socket
0,0,0,1,,setsockopt
0,0,0,1,,ftruncate
0,0,0,1,1,mkdir
0,0,0,2,,umask
0,0,0,1,,getgid
0,0,0,4,,getdents64
0,0,0,1,,pipe2
65.98,16.701997,9,1682371,,write
31.3,7.92329,4,1754387,69716,read
2.39,0.604741,8,69715,,epoll_wait
0.09,0.023042,15,1465,,openat
0.06,0.015398,6,2321,,close
0.05,0.013667,3,4000,,setsockopt
0.04,0.009769,3256,3,,wait4
0.02,0.006228,3,1606,,fcntl
0.02,0.00474,2,1650,,epoll_ctl
0.02,0.004136,2,1474,,getpid
0.01,0.003613,4,816,16,accept
0,0.001127,9,121,,madvise
0,0.000366,122,3,,clone
0,0.000023,2,9,,fstat
0,0.000019,6,3,,getpeername
0,0.000017,1,9,,lseek
0,0.000016,5,3,,pipe
100,41.431234,41431234,1,,wait4
0,0.000005,5,1,1,stat
0,0.000004,2,2,,rt_sigprocmask
0,0.000004,4,1,,chdir
0,0.000002,2,1,,close
100,41.43121,41431210,1,,wait4
0,0,0,1,,rt_sigreturn
99.97,13.288051,168203,79,,wait4
0.02,0.002032,26,78,,vfork
0.01,0.001276,5,253,80,stat
0,0.000559,1,310,,rt_sigprocmask
0,0.000056,9,6,,getdents64
0,0.000041,5,8,4,openat
0,0.00003,6,5,,brk
0,0.000017,3,5,,close
0,0.000008,8,1,,write
0,0.000008,2,4,,fstat
0,0.000006,3,2,,read
0,0.000005,5,1,,chdir
